timestamp,heart_rate_bpm,steps,spo2_pct,rule_anomaly,dbscan,score,final
2026-01-01 00:00:00,56.239999999999995,0.0,97,0,1,1,1
2026-01-01 00:05:00,58.14,0.0,97,0,1,1,1
2026-01-01 00:10:00,78.86,0.0,97,0,1,1,1
2026-01-01 00:15:00,65.66,0.0,97,0,0,0,0
2026-01-01 00:20:00,59.6,0.0,97,0,0,0,0
2026-01-01 00:25:00,57.96,0.0,97,0,0,0,0
2026-01-01 00:30:00,59.8,0.0,97,0,0,0,0
2026-01-01 00:35:00,62.120000000000005,0.0,97,0,0,0,0
2026-01-01 00:40:00,60.35,0.0,97,0,0,0,0
2026-01-01 00:45:00,62.120000000000005,0.0,97,0,0,0,0
2026-01-01 00:50:00,57.05,0.0,97,0,0,0,0
2026-01-01 00:55:00,61.760000000000005,0.0,97,0,0,0,0
2026-01-01 01:00:00,61.220000000000006,0.0,97,0,0,0,0
2026-01-01 01:05:00,60.08,0.0,97,0,0,0,0
2026-01-01 01:10:00,57.7,0.0,97,0,0,0,0
2026-01-01 01:15:00,64.36,0.0,97,0,0,0,0
2026-01-01 01:20:00,64.12,0.0,97,0,0,0,0
2026-01-01 01:25:00,84.47999999999999,0.0,97,0,0,0,0
2026-01-01 01:30:00,60.05,0.0,97,0,0,0,0
2026-01-01 01:35:00,59.629999999999995,0.0,97,0,0,0,0
2026-01-01 01:40:00,61.98,0.0,97,0,0,0,0
2026-01-01 01:45:00,60.9,0.0,97,0,0,0,0
2026-01-01 01:50:00,58.7,0.0,97,0,0,0,0
2026-01-01 01:55:00,59.64,0.0,97,0,0,0,0
2026-01-01 02:00:00,61.489999999999995,0.0,97,0,0,0,0
2026-01-01 02:05:00,78.17999999999999,0.0,97,0,0,0,0
2026-01-01 02:10:00,65.2,0.0,97,0,0,0,0
2026-01-01 02:15:00,58.52,0.0,97,0,0,0,0
2026-01-01 02:20:00,58.35,0.0,97,0,0,0,0
2026-01-01 02:25:00,58.779999999999994,0.0,97,0,0,0,0
2026-01-01 02:30:00,63.879999999999995,0.0,97,0,0,0,0
2026-01-01 02:35:00,60.44,0.0,97,0,0,0,0
2026-01-01 02:40:00,54.9,0.0,97,0,0,0,0
2026-01-01 02:45:00,60.04,0.0,97,0,0,0,0
2026-01-01 02:50:00,59.279999999999994,0.0,97,0,0,0,0
2026-01-01 02:55:00,54.58,0.0,97,0,0,0,0
2026-01-01 03:00:00,60.239999999999995,0.0,97,0,0,0,0
2026-01-01 03:05:00,55.48,0.0,97,0,0,0,0
2026-01-01 03:10:00,59.0,0.0,97,0,0,0,0
2026-01-01 03:15:00,59.48,0.0,97,0,0,0,0
2026-01-01 03:20:00,60.92,0.0,97,0,0,0,0
2026-01-01 03:25:00,58.660000000000004,0.0,97,0,0,0,0
2026-01-01 03:30:00,61.6,0.0,97,0,0,0,0
2026-01-01 03:35:00,61.64,0.0,97,0,0,0,0
2026-01-01 03:40:00,59.33,0.0,97,0,0,0,0
2026-01-01 03:45:00,62.18000000000001,0.0,97,0,0,0,0
2026-01-01 03:50:00,60.94,0.0,97,0,0,0,0
2026-01-01 03:55:00,57.56,0.0,97,0,0,0,0
2026-01-01 04:00:00,61.56,0.0,97,0,0,0,0
2026-01-01 04:05:00,58.56,0.0,97,0,0,0,0
2026-01-01 04:10:00,59.760000000000005,0.0,97,0,0,0,0
2026-01-01 04:15:00,60.9,0.0,97,0,0,0,0
