timestamp,heart_rate,steps,sleep_hours
2026-01-01 00:00:00,47.2,0.0,6.6
2026-01-01 00:01:00,59.5,0.0,7.2
2026-01-01 00:02:00,60.5,0.0,6.55
2026-01-01 00:03:00,62.3,0.0,7.52
2026-01-01 00:04:00,51.7,0.0,5.77
2026-01-01 00:05:00,54.8,0.0,6.92
2026-01-01 00:06:00,58.0,0.0,7.65
2026-01-01 00:07:00,62.4,0.0,7.17
2026-01-01 00:08:00,60.8,0.0,6.86
2026-01-01 00:09:00,54.7,0.0,7.87
2026-01-01 00:10:00,161.9,,6.54
2026-01-01 00:11:00,51.9,0.0,7.83
2026-01-01 00:12:00,61.3,0.0,7.59
2026-01-01 00:13:00,55.5,0.0,7.55
2026-01-01 00:14:00,63.7,0.0,6.21
2026-01-01 00:15:00,56.6,0.0,5.64
2026-01-01 00:16:00,74.5,0.0,6.42
2026-01-01 00:17:00,61.4,0.0,7.32
2026-01-01 00:18:00,66.8,0.0,6.39
2026-01-01 00:19:00,69.0,0.0,6.87
2026-01-01 00:20:00,58.3,0.0,7.1
2026-01-01 00:21:00,59.0,0.0,5.8
2026-01-01 00:22:00,66.2,0.0,6.06
2026-01-01 00:23:00,60.0,0.0,7.25
2026-01-01 00:24:00,54.5,0.0,7.47
2026-01-01 00:25:00,51.4,0.0,6.48
2026-01-01 00:26:00,60.7,0.0,5.98
2026-01-01 00:27:00,56.8,0.0,7.97
2026-01-01 00:28:00,63.5,0.0,5.92
2026-01-01 00:29:00,57.4,0.0,7.26
2026-01-01 00:30:00,68.7,0.0,7.86
2026-01-01 00:31:00,55.1,0.0,6.66
2026-01-01 00:32:00,53.3,0.0,7.08
2026-01-01 00:33:00,58.9,0.0,6.77
2026-01-01 00:34:00,63.0,0.0,6.82
2026-01-01 00:35:00,64.0,0.0,7.16
2026-01-01 00:36:00,60.0,0.0,5.78
2026-01-01 00:37:00,69.0,0.0,7.74
2026-01-01 00:38:00,59.5,0.0,7.8
2026-01-01 00:39:00,58.1,,6.86
2026-01-01 00:40:00,,0.0,5.87
2026-01-01 00:41:00,54.0,0.0,7.29
2026-01-01 00:42:00,65.1,,7.79
2026-01-01 00:43:00,66.1,0.0,6.49
2026-01-01 00:44:00,60.5,0.0,5.5
2026-01-01 00:45:00,54.8,0.0,7.19
2026-01-01 00:46:00,60.8,0.0,6.54
2026-01-01 00:47:00,68.7,0.0,5.69
2026-01-01 00:48:00,62.5,0.0,5.98
2026-01-01 00:49:00,63.8,0.0,7.74
2026-01-01 00:50:00,64.7,0.0,5.79
2026-01-01 00:51:00,53.9,0.0,5.94
2026-01-01 00:52:00,58.6,0.0,6.95
2026-01-01 00:53:00,,0.0,7.18
2026-01-01 00:54:00,52.5,0.0,5.97
2026-01-01 00:55:00,65.7,0.0,6.03
2026-01-01 00:56:00,,0.0,6.28
2026-01-01 00:57:00,57.1,0.0,6.62
2026-01-01 00:58:00,65.5,0.0,6.3
2026-01-01 00:59:00,59.1,0.0,6.91
2026-01-01 01:00:00,60.7,0.0,5.89
2026-01-01 01:01:00,69.8,0.0,7.13
2026-01-01 01:02:00,64.5,0.0,7.72
2026-01-01 01:03:00,59.3,0.0,7.38
2026-01-01 01:04:00,51.8,0.0,6.72
2026-01-01 01:05:00,64.8,0.0,7.96
2026-01-01 01:06:00,59.4,0.0,7.17
2026-01-01 01:07:00,58.5,0.0,7.06
